,time,open,high,low,close
0,2014-12-01,370.0,370.0,370.0,370.0
1,2014-12-02,370.0,378.0,370.0,378.0
2,2014-12-03,378.0,378.0,377.01,378.0
3,2014-12-04,378.0,378.0,377.1,377.1
4,2014-12-05,377.1,377.1,377.1,377.1
5,2014-12-06,377.1,378.0,377.1,378.0
6,2014-12-07,378.0,378.0,378.0,378.0
7,2014-12-08,378.0,378.0,375.0,375.0
8,2014-12-09,375.0,375.0,375.0,375.0
9,2014-12-10,375.0,398.0,360.5,360.5
10,2014-12-11,360.5,360.5,360.5,360.5
11,2014-12-12,360.5,379.0,350.0,350.0
12,2014-12-13,350.0,350.0,350.0,350.0
13,2014-12-14,350.0,350.0,350.0,350.0
14,2014-12-15,350.0,350.0,350.0,350.0
15,2014-12-16,350.0,350.0,350.0,350.0
16,2014-12-17,350.0,350.0,350.0,350.0
17,2014-12-18,350.0,350.0,340.0,340.0
18,2014-12-19,340.0,340.0,340.0,340.0
19,2014-12-20,340.0,340.0,340.0,340.0
20,2014-12-21,340.0,340.0,340.0,340.0
21,2014-12-22,340.0,340.0,340.0,340.0
22,2014-12-23,340.0,340.0,340.0,340.0
23,2014-12-24,340.0,340.0,340.0,340.0
24,2014-12-25,340.0,340.0,340.0,340.0
25,2014-12-26,340.0,340.0,340.0,340.0
26,2014-12-27,340.0,340.0,340.0,340.0
27,2014-12-28,340.0,340.0,340.0,340.0
28,2014-12-29,340.0,340.0,340.0,340.0
29,2014-12-30,340.0,340.0,340.0,340.0
30,2014-12-31,340.0,340.0,340.0,340.0
31,2015-01-01,340.0,340.0,340.0,340.0
32,2015-01-02,340.0,340.0,340.0,340.0
33,2015-01-03,340.0,340.0,340.0,340.0
34,2015-01-04,340.0,340.0,340.0,340.0
35,2015-01-05,340.0,340.0,340.0,340.0
36,2015-01-06,340.0,340.0,340.0,340.0
37,2015-01-07,340.0,340.0,340.0,340.0
38,2015-01-08,340.0,360.0,264.81,288.99
39,2015-01-09,288.99,288.99,288.99,288.99
40,2015-01-10,288.99,288.99,288.99,288.99
41,2015-01-11,288.99,288.99,288.99,288.99
42,2015-01-12,288.99,288.99,288.99,288.99
43,2015-01-13,288.99,288.99,260.0,260.0
44,2015-01-14,260.0,260.0,109.87,120.0
45,2015-01-15,120.0,224.0,120.0,204.82
46,2015-01-16,206.24,225.5,189.0,205.49
47,2015-01-17,201.7,210.0,184.0,184.0
48,2015-01-18,184.0,184.0,184.0,184.0
49,2015-01-19,184.0,225.51,184.0,225.51
50,2015-01-20,225.51,225.51,208.0,208.0
51,2015-01-21,217.0,224.0,217.0,224.0
52,2015-01-22,220.0,257.73,216.59,226.32
53,2015-01-23,226.32,235.0,215.0,235.0
54,2015-01-24,235.0,250.58,215.0,240.0
55,2015-01-25,240.0,256.26,240.0,254.53
56,2015-01-26,254.53,322.72,241.43,270.0
57,2015-01-27,270.0,278.47,244.03,263.94
58,2015-01-28,263.7,265.99,228.5,233.7
59,2015-01-29,233.58,242.0,221.14,235.59
60,2015-01-30,235.59,244.59,227.89,231.5
61,2015-01-31,231.52,234.67,224.84,225.19
62,2015-02-01,225.38,233.79,210.0,227.67
63,2015-02-02,227.77,232.12,220.89,232.12
64,2015-02-03,232.02,243.9,225.32,229.96
65,2015-02-04,229.99,230.99,221.5,224.67
66,2015-02-05,224.96,228.9,215.0,218.03
67,2015-02-06,218.03,226.64,216.0,223.8
68,2015-02-07,223.9,230.5,221.91,229.79
69,2015-02-08,229.77,231.6,220.0,224.4
70,2015-02-09,224.25,225.0,216.45,221.32
71,2015-02-10,221.34,222.64,215.0,221.14
72,2015-02-11,221.13,223.61,218.0,221.99
73,2015-02-12,221.75,224.61,217.46,222.75
74,2015-02-13,222.75,242.36,221.55,236.97
75,2015-02-14,236.97,259.98,236.08,258.63
76,2015-02-15,258.66,267.86,228.0,234.11
77,2015-02-16,234.12,241.0,229.6,236.82
78,2015-02-17,236.71,248.0,233.0,242.51
79,2015-02-18,242.96,246.0,231.93,235.61
80,2015-02-19,235.61,245.0,235.26,241.87
81,2015-02-20,241.88,248.32,239.99,245.68
82,2015-02-21,245.53,248.43,244.0,245.34
83,2015-02-22,245.34,247.48,234.01,236.78
84,2015-02-23,236.6,240.97,232.0,239.95
85,2015-02-24,239.95,241.91,235.51,240.35
86,2015-02-25,240.09,241.0,235.1,238.15
87,2015-02-26,238.17,238.47,234.33,237.0
88,2015-02-27,237.12,259.0,236.29,257.16
89,2015-02-28,257.04,257.37,250.0,255.11
90,2015-03-01,255.11,261.81,244.88,259.79
91,2015-03-02,259.57,275.92,256.6,273.77
92,2015-03-03,273.96,289.5,267.07,285.2
93,2015-03-04,285.0,287.0,267.39,273.81
94,2015-03-05,273.9,281.09,262.49,277.0
95,2015-03-06,276.98,280.0,269.12,273.44
96,2015-03-07,273.44,279.44,270.55,276.55
97,2015-03-08,276.48,278.97,270.29,274.94
98,2015-03-09,274.85,294.42,274.25,290.49
99,2015-03-10,290.03,299.48,286.48,295.0
100,2015-03-11,294.99,297.8,290.51,296.84
101,2015-03-12,296.83,298.9,291.87,295.91
102,2015-03-13,295.74,296.52,284.86,287.57
103,2015-03-14,287.65,289.0,280.86,284.83
104,2015-03-15,284.83,289.24,282.5,287.8
105,2015-03-16,287.95,294.99,286.68,291.78
106,2015-03-17,291.98,293.69,284.01,285.95
107,2015-03-18,285.98,287.06,250.0,257.35
108,2015-03-19,257.11,266.8,249.2,263.25
109,2015-03-20,263.25,267.42,259.31,263.32
110,2015-03-21,263.59,264.04,256.66,261.6
111,2015-03-22,261.63,269.99,259.71,269.59
112,2015-03-23,269.49,273.99,260.81,267.41
113,2015-03-24,267.41,268.51,244.86,250.1
114,2015-03-25,250.06,250.35,234.51,246.36
115,2015-03-26,246.55,254.9,244.92,249.88
116,2015-03-27,250.04,250.99,246.44,249.63
117,2015-03-28,249.52,254.99,247.63,253.43
118,2015-03-29,253.37,254.0,241.0,244.45
119,2015-03-30,244.3,250.06,237.94,248.54
120,2015-03-31,248.53,249.98,242.87,245.8
121,2015-04-01,245.76,248.22,241.07,247.32
122,2015-04-02,247.48,255.24,245.8,253.36
123,2015-04-03,253.36,257.43,252.59,254.48
124,2015-04-04,254.45,256.6,251.26,254.63
125,2015-04-05,254.45,261.44,252.06,261.25
126,2015-04-06,261.12,263.0,255.0,257.57
127,2015-04-07,257.57,258.7,253.45,255.75
128,2015-04-08,255.5,256.2,244.29,247.22
129,2015-04-09,247.06,248.16,239.02,244.23
130,2015-04-10,243.98,244.95,232.35,236.67
131,2015-04-11,236.65,239.99,234.77,237.15
132,2015-04-12,237.4,239.16,234.02,238.0
133,2015-04-13,238.0,238.34,220.77,227.01
134,2015-04-14,227.0,227.02,216.92,220.0
135,2015-04-15,220.0,224.24,218.09,222.94
136,2015-04-16,222.98,230.75,222.98,230.04
137,2015-04-17,230.02,230.09,220.46,223.64
138,2015-04-18,223.7,224.04,222.18,223.98
139,2015-04-19,223.98,226.72,223.41,224.22
140,2015-04-20,224.22,227.45,223.45,224.89
141,2015-04-21,224.89,235.81,224.01,234.02
142,2015-04-22,234.48,238.6,232.78,234.52
143,2015-04-23,234.49,236.0,232.79,235.42
144,2015-04-24,235.34,236.93,230.12,232.11
145,2015-04-25,232.18,233.67,227.16,227.34
146,2015-04-26,227.32,227.91,215.56,221.24
147,2015-04-27,221.22,231.11,218.78,227.46
148,2015-04-28,227.45,229.56,220.46,225.5
149,2015-04-29,225.29,227.3,220.2,225.73
150,2015-04-30,225.93,240.0,225.1,237.0
151,2015-05-01,237.15,238.78,234.44,235.3
152,2015-05-02,235.3,237.15,233.0,236.36
153,2015-05-03,236.36,242.97,234.26,240.34
154,2015-05-04,240.35,243.99,238.06,238.81
155,2015-05-05,238.81,240.04,232.0,236.41
156,2015-05-06,236.39,237.87,228.38,230.13
157,2015-05-07,230.01,239.18,228.38,238.13
158,2015-05-08,238.03,247.06,236.35,245.2
159,2015-05-09,245.2,247.6,240.0,244.21
160,2015-05-10,244.34,244.89,239.63,242.13
161,2015-05-11,242.12,245.49,239.5,242.54
162,2015-05-12,242.73,243.4,240.37,242.85
163,2015-05-13,242.84,244.13,235.54,237.14
164,2015-05-14,237.14,240.0,232.61,237.09
165,2015-05-15,237.1,239.0,236.54,237.67
166,2015-05-16,237.66,237.99,235.48,236.7
167,2015-05-17,236.7,238.45,236.7,237.41
168,2015-05-18,237.41,237.89,231.66,233.95
169,2015-05-19,233.93,234.92,231.53,232.81
170,2015-05-20,232.81,235.0,232.31,234.05
171,2015-05-21,234.01,236.74,233.84,235.97
172,2015-05-22,235.97,242.0,235.11,240.59
173,2015-05-23,240.69,240.72,237.89,239.1
174,2015-05-24,239.05,242.0,238.27,241.22
