,time,open,high,low,close
0,2016-05-18,13.0,14.93,12.75,13.13
1,2016-05-19,13.13,14.83,13.0,14.83
2,2016-05-20,14.89,14.9,13.71,14.17
3,2016-05-21,14.17,14.17,14.17,14.17
4,2016-05-22,14.17,14.17,14.17,14.17
5,2016-05-23,14.17,14.17,13.85,13.91
6,2016-05-24,13.61,13.74,12.0,13.05
7,2016-05-25,13.04,13.18,11.93,12.62
8,2016-05-26,12.61,12.95,12.15,12.47
9,2016-05-27,12.47,12.78,10.25,11.06
10,2016-05-28,11.09,12.44,10.7,11.54
11,2016-05-29,11.88,12.49,11.46,12.27
12,2016-05-30,12.42,12.88,12.0,12.88
13,2016-05-31,12.86,14.24,12.37,14.0
14,2016-06-01,14.01,14.45,13.5,13.95
15,2016-06-02,14.0,14.18,13.76,14.13
16,2016-06-03,14.13,14.13,13.49,13.81
17,2016-06-04,13.81,14.03,13.56,13.81
18,2016-06-05,13.9,14.06,13.8,14.04
19,2016-06-06,14.03,14.3,13.83,14.15
20,2016-06-07,14.1,14.69,13.97,14.66
21,2016-06-08,14.66,14.87,14.4,14.67
22,2016-06-09,14.61,14.85,14.55,14.69
23,2016-06-10,14.63,14.74,13.76,13.87
24,2016-06-11,13.96,14.29,13.86,14.11
25,2016-06-12,14.05,15.57,13.92,15.55
26,2016-06-13,15.55,17.92,15.49,17.78
27,2016-06-14,17.77,19.08,16.96,18.7
28,2016-06-15,18.8,18.81,17.89,18.59
29,2016-06-16,18.51,21.35,18.42,21.19
30,2016-06-17,21.13,22.0,13.75,15.37
31,2016-06-18,15.1,15.75,10.0,11.81
32,2016-06-19,11.58,13.4,10.72,12.42
33,2016-06-20,12.45,12.76,10.8,11.86
34,2016-06-21,11.88,12.76,11.2,12.46
35,2016-06-22,12.54,15.89,12.54,13.09
36,2016-06-23,13.16,14.5,12.68,13.63
37,2016-06-24,13.62,14.8,13.25,14.48
38,2016-06-25,14.53,14.74,14.0,14.35
39,2016-06-26,14.37,14.49,13.75,14.04
40,2016-06-27,14.01,14.59,13.6,14.15
41,2016-06-28,14.26,14.34,11.52,12.15
42,2016-06-29,12.11,13.0,11.62,12.87
43,2016-06-30,12.94,13.13,12.19,12.48
44,2016-07-01,12.48,12.54,11.8,12.3
45,2016-07-02,12.3,12.45,12.0,12.14
46,2016-07-03,12.15,12.16,11.65,11.9
47,2016-07-04,11.9,12.04,11.41,11.42
48,2016-07-05,11.43,11.48,9.31,10.4
49,2016-07-06,10.4,11.0,10.24,10.59
50,2016-07-07,10.59,10.7,9.75,10.02
51,2016-07-08,10.02,11.8,10.02,11.24
52,2016-07-09,11.35,11.57,10.68,11.04
53,2016-07-10,11.04,11.3,10.9,10.91
54,2016-07-11,10.95,11.16,10.11,10.63
55,2016-07-12,10.6,10.98,10.5,10.55
56,2016-07-13,10.53,10.65,10.49,10.53
57,2016-07-14,10.49,11.78,10.33,11.43
58,2016-07-15,11.5,12.75,11.36,12.22
59,2016-07-16,12.18,12.4,11.8,11.97
60,2016-07-17,11.96,11.96,11.02,11.32
61,2016-07-18,11.35,11.93,11.0,11.11
62,2016-07-19,11.05,11.98,11.03,11.74
63,2016-07-20,11.75,13.0,11.22,12.57
64,2016-07-21,12.57,13.09,12.1,12.88
65,2016-07-22,12.87,15.0,12.73,14.82
66,2016-07-23,14.76,15.39,14.0,14.47
67,2016-07-24,14.5,14.62,12.05,12.51
68,2016-07-25,12.51,13.82,12.4,13.7
69,2016-07-26,13.71,14.01,11.92,12.16
70,2016-07-27,12.14,13.4,11.75,13.16
71,2016-07-28,13.2,13.23,12.53,12.9
72,2016-07-29,12.9,12.98,12.57,12.89
73,2016-07-30,12.89,12.9,12.6,12.64
74,2016-07-31,12.65,12.67,11.61,12.12
75,2016-08-01,12.05,12.13,11.15,11.24
76,2016-08-02,11.24,11.31,6.68,8.04
77,2016-08-03,8.05,10.78,7.31,10.48
78,2016-08-04,10.43,11.55,10.21,11.35
79,2016-08-05,11.34,11.4,10.81,11.24
80,2016-08-06,11.21,11.24,10.42,10.93
81,2016-08-07,10.93,11.25,10.84,11.1
82,2016-08-08,11.05,11.3,10.94,11.3
83,2016-08-09,11.3,12.48,11.24,12.37
84,2016-08-10,12.35,12.91,11.87,12.2
85,2016-08-11,12.19,12.39,11.6,11.73
86,2016-08-12,11.72,12.08,11.65,11.82
87,2016-08-13,11.82,11.86,11.54,11.59
88,2016-08-14,11.59,11.76,11.2,11.28
89,2016-08-15,11.27,11.52,11.02,11.2
90,2016-08-16,11.21,11.49,11.0,11.17
91,2016-08-17,11.18,11.26,10.69,10.77
92,2016-08-18,10.78,11.06,10.76,10.78
93,2016-08-19,10.79,10.86,10.65,10.75
94,2016-08-20,10.72,11.37,10.7,11.32
95,2016-08-21,11.32,11.32,10.98,11.17
96,2016-08-22,11.16,11.34,11.07,11.09
97,2016-08-23,11.07,11.2,10.85,10.99
98,2016-08-24,10.98,11.16,10.97,11.02
99,2016-08-25,10.99,11.3,10.99,11.22
100,2016-08-26,11.23,11.47,11.2,11.26
101,2016-08-27,11.29,11.3,11.17,11.21
102,2016-08-28,11.2,11.23,10.98,11.03
103,2016-08-29,11.02,11.16,10.8,10.97
104,2016-08-30,10.97,11.25,10.95,11.25
105,2016-08-31,11.25,11.53,11.09,11.5
106,2016-09-01,11.49,12.5,11.49,12.28
107,2016-09-02,12.28,12.35,11.95,12.16
108,2016-09-03,12.16,12.47,11.6,11.84
109,2016-09-04,11.84,11.94,11.54,11.76
110,2016-09-05,11.77,11.84,11.62,11.76
111,2016-09-06,11.75,11.77,11.5,11.72
112,2016-09-07,11.72,11.9,11.53,11.57
113,2016-09-08,11.57,11.7,11.31,11.44
114,2016-09-09,11.45,11.69,11.34,11.61
115,2016-09-10,11.63,12.05,11.52,12.02
116,2016-09-11,12.03,12.21,11.6,11.66
117,2016-09-12,11.64,11.95,11.63,11.85
118,2016-09-13,11.85,12.08,11.84,11.91
119,2016-09-14,11.91,12.03,11.8,11.93
120,2016-09-15,11.93,12.1,11.9,11.97
121,2016-09-16,11.96,12.76,11.86,12.57
122,2016-09-17,12.58,12.99,12.41,12.85
123,2016-09-18,12.84,12.98,12.33,12.55
124,2016-09-19,12.52,13.2,12.49,12.9
125,2016-09-20,12.9,14.61,12.9,14.61
126,2016-09-21,14.61,15.25,13.16,13.43
127,2016-09-22,13.44,13.89,12.33,13.16
128,2016-09-23,13.18,13.45,13.08,13.38
129,2016-09-24,13.39,13.41,12.62,12.94
130,2016-09-25,12.94,13.18,12.8,13.07
131,2016-09-26,13.07,13.15,12.83,12.95
132,2016-09-27,12.97,13.25,12.83,13.09
133,2016-09-28,13.1,13.58,13.09,13.38
134,2016-09-29,13.38,13.4,13.1,13.2
135,2016-09-30,13.19,13.39,13.08,13.28
136,2016-10-01,13.26,13.31,13.09,13.27
137,2016-10-02,13.27,13.31,13.19,13.29
